transaction_id,transaction_date,inventory_id,quantity_consumed,department,staff_id,shift,consumption_reason,remaining_stock,batch_lot
TX00003501,2025-02-05,INV0001,0,Snack,S008,Morning,Routine,0,BATCH6954
TX00003502,2025-02-05,INV0001,0,Frozen,S015,Morning,Sample,0,BATCH8218
TX00003600,2025-02-06,INV0001,13,Snack,S019,Morning,Spoilage,0,BATCH9705
TX00003601,2025-02-06,INV0001,0,Snack,S020,Night,Spoilage,0,BATCH2409
TX00003602,2025-02-06,INV0001,0,Beverage,S020,Morning,Routine,0,BATCH2279
TX00003700,2025-02-07,INV0001,12,Bakery,S010,Evening,Sample,15,BATCH9173
TX00003701,2025-02-07,INV0001,15,Dairy,S019,Morning,Spoilage,0,BATCH3599
TX00003800,2025-02-08,INV0001,0,Dairy,S013,Evening,Sample,0,BATCH9996
TX00003801,2025-02-08,INV0001,0,Frozen,S018,Morning,Spoilage,0,BATCH6475
TX00003900,2025-02-09,INV0001,6,Produce,S008,Evening,Routine,20,BATCH7136
TX00003901,2025-02-09,INV0001,7,Dairy,S013,Morning,Spoilage,13,BATCH4028
TX00003902,2025-02-09,INV0001,13,Dairy,S011,Morning,Sample,0,BATCH5788
TX00004000,2025-02-10,INV0001,4,Beverage,S019,Night,Sample,10,BATCH8101
TX00004001,2025-02-10,INV0001,10,Produce,S002,Morning,Spoilage,0,BATCH8617
TX00004100,2025-02-11,INV0001,0,Produce,S003,Evening,Routine,0,BATCH5203
TX00004101,2025-02-11,INV0001,0,Produce,S006,Evening,Sample,0,BATCH5090
TX00004200,2025-02-12,INV0001,16,Produce,S008,Night,Routine,31,BATCH2750
TX00004201,2025-02-12,INV0001,5,Frozen,S016,Evening,Routine,26,BATCH7609
TX00004300,2025-02-13,INV0001,16,Dairy,S018,Night,Spoilage,9,BATCH3419
TX00004301,2025-02-13,INV0001,7,Produce,S018,Night,Spoilage,2,BATCH1614
TX00004302,2025-02-13,INV0001,2,Frozen,S003,Morning,Spoilage,0,BATCH1130
TX00004400,2025-02-14,INV0001,2,Frozen,S013,Morning,Spoilage,21,BATCH4810
TX00004401,2025-02-14,INV0001,7,Frozen,S020,Morning,Spoilage,14,BATCH3032
TX00004500,2025-02-15,INV0001,1,Frozen,S017,Night,Routine,27,BATCH2165
TX00004600,2025-02-16,INV0001,4,Beverage,S005,Morning,Routine,43,BATCH5805
TX00004700,2025-02-17,INV0001,2,Bakery,S009,Morning,Spoilage,43,BATCH7402
TX00004701,2025-02-17,INV0001,6,Snack,S005,Evening,Sample,37,BATCH1726
TX00004702,2025-02-17,INV0001,17,Bakery,S003,Evening,Routine,20,BATCH8657
TX00004800,2025-02-18,INV0001,11,Bakery,S003,Night,Routine,35,BATCH2218
TX00004801,2025-02-18,INV0001,2,Beverage,S010,Morning,Sample,33,BATCH1954
TX00004900,2025-02-19,INV0001,3,Dairy,S008,Night,Routine,50,BATCH2312
TX00004901,2025-02-19,INV0001,6,Produce,S016,Morning,Sample,44,BATCH2704
TX00004902,2025-02-19,INV0001,13,Produce,S013,Morning,Routine,31,BATCH5286
TX00005000,2025-02-20,INV0001,7,Dairy,S004,Evening,Spoilage,29,BATCH9780
TX00005100,2025-02-21,INV0001,15,Frozen,S005,Morning,Spoilage,36,BATCH8059
TX00005101,2025-02-21,INV0001,4,Dairy,S004,Night,Routine,32,BATCH9073
TX00005102,2025-02-21,INV0001,1,Frozen,S018,Evening,Spoilage,31,BATCH5799
TX00005200,2025-02-22,INV0001,11,Bakery,S006,Night,Sample,54,BATCH4356
TX00005201,2025-02-22,INV0001,4,Bakery,S003,Morning,Routine,50,BATCH1038
TX00005202,2025-02-22,INV0001,15,Snack,S011,Evening,Sample,35,BATCH4155
TX00005300,2025-02-23,INV0001,3,Bakery,S012,Evening,Sample,32,BATCH7635
TX00005400,2025-02-24,INV0001,3,Beverage,S014,Night,Routine,24,BATCH2875
TX00005401,2025-02-24,INV0001,4,Bakery,S006,Morning,Sample,20,BATCH6109
TX00005500,2025-02-25,INV0001,0,Bakery,S017,Morning,Spoilage,0,BATCH6791
TX00005501,2025-02-25,INV0001,0,Frozen,S020,Morning,Spoilage,0,BATCH7047
TX00005600,2025-02-26,INV0001,7,Dairy,S006,Night,Spoilage,40,BATCH2709
TX00005700,2025-02-27,INV0001,15,Produce,S007,Night,Spoilage,52,BATCH1021
TX00005701,2025-02-27,INV0001,3,Bakery,S010,Evening,Sample,49,BATCH8179
TX00005800,2025-02-28,INV0001,8,Snack,S019,Evening,Spoilage,54,BATCH8057
TX00005900,2025-03-01,INV0001,5,Beverage,S012,Evening,Spoilage,49,BATCH2712
TX00006000,2025-03-02,INV0001,15,Dairy,S004,Evening,Sample,61,BATCH2394
TX00006001,2025-03-02,INV0001,12,Produce,S013,Evening,Routine,49,BATCH3958
TX00006100,2025-03-03,INV0001,7,Frozen,S017,Night,Routine,44,BATCH9219
TX00006101,2025-03-03,INV0001,2,Produce,S005,Morning,Sample,42,BATCH6543
TX00006200,2025-03-04,INV0001,14,Dairy,S010,Evening,Routine,32,BATCH7276
TX00006201,2025-03-04,INV0001,8,Produce,S012,Morning,Routine,24,BATCH1575
TX00006300,2025-03-05,INV0001,15,Frozen,S012,Night,Routine,17,BATCH2939
TX00006301,2025-03-05,INV0001,17,Frozen,S002,Morning,Sample,0,BATCH1281
TX00006302,2025-03-05,INV0001,0,Produce,S006,Morning,Routine,0,BATCH6178
TX00006400,2025-03-06,INV0001,3,Produce,S011,Evening,Spoilage,0,BATCH8473
TX00006500,2025-03-07,INV0001,12,Frozen,S020,Night,Spoilage,9,BATCH2969
TX00006501,2025-03-07,INV0001,9,Beverage,S008,Evening,Routine,0,BATCH9320
TX00006502,2025-03-07,INV0001,0,Snack,S006,Morning,Sample,0,BATCH2198
TX00006600,2025-03-08,INV0001,17,Dairy,S008,Night,Routine,9,BATCH1986
TX00006601,2025-03-08,INV0001,8,Bakery,S014,Morning,Routine,1,BATCH4124
TX00006700,2025-03-09,INV0001,9,Bakery,S009,Morning,Routine,30,BATCH4828
TX00006701,2025-03-09,INV0001,13,Bakery,S011,Evening,Routine,17,BATCH4173
TX00006800,2025-03-10,INV0001,15,Bakery,S012,Evening,Sample,31,BATCH3190
TX00006900,2025-03-11,INV0001,6,Beverage,S012,Morning,Spoilage,28,BATCH5399
TX00006901,2025-03-11,INV0001,5,Beverage,S004,Night,Sample,23,BATCH6445
TX00007000,2025-03-12,INV0001,19,Beverage,S013,Evening,Sample,30,BATCH7012
TX00007001,2025-03-12,INV0001,4,Snack,S020,Evening,Sample,26,BATCH7894
TX00007002,2025-03-12,INV0001,3,Dairy,S004,Evening,Spoilage,23,BATCH7787
TX00007100,2025-03-13,INV0001,10,Beverage,S020,Evening,Sample,24,BATCH6291
TX00007101,2025-03-13,INV0001,13,Dairy,S015,Night,Routine,11,BATCH8285
TX00007200,2025-03-14,INV0001,5,Beverage,S018,Night,Sample,5,BATCH4273
TX00007201,2025-03-14,INV0001,5,Produce,S004,Evening,Routine,0,BATCH1482
TX00007300,2025-03-15,INV0001,13,Snack,S002,Night,Sample,26,BATCH7780
TX00007301,2025-03-15,INV0001,7,Bakery,S017,Night,Sample,19,BATCH3349
TX00007400,2025-03-16,INV0001,6,Bakery,S007,Morning,Routine,17,BATCH4713
TX00007401,2025-03-16,INV0001,5,Beverage,S008,Evening,Spoilage,12,BATCH9258
TX00007402,2025-03-16,INV0001,12,Snack,S003,Evening,Spoilage,0,BATCH6249
TX00007500,2025-03-17,INV0001,6,Dairy,S016,Morning,Sample,0,BATCH2679
TX00007501,2025-03-17,INV0001,0,Beverage,S019,Evening,Routine,0,BATCH7099
TX00007502,2025-03-17,INV0001,0,Beverage,S001,Morning,Spoilage,0,BATCH1148
TX00007600,2025-03-18,INV0001,4,Bakery,S018,Morning,Spoilage,4,BATCH3408
TX00007601,2025-03-18,INV0001,2,Produce,S009,Morning,Sample,2,BATCH6299
TX00007700,2025-03-19,INV0001,6,Dairy,S013,Night,Spoilage,8,BATCH8629
TX00007701,2025-03-19,INV0001,6,Produce,S016,Night,Spoilage,2,BATCH9264
TX00007800,2025-03-20,INV0001,13,Dairy,S002,Morning,Routine,0,BATCH5259
TX00007801,2025-03-20,INV0001,0,Bakery,S014,Evening,Spoilage,0,BATCH3530
TX00007900,2025-03-21,INV0001,14,Beverage,S018,Morning,Sample,13,BATCH3719
TX00008000,2025-03-22,INV0001,8,Bakery,S003,Morning,Routine,0,BATCH2179
TX00008001,2025-03-22,INV0001,0,Produce,S007,Morning,Sample,0,BATCH6671
TX00008002,2025-03-22,INV0001,0,Snack,S007,Morning,Spoilage,0,BATCH4302
TX00008100,2025-03-23,INV0001,6,Snack,S010,Night,Spoilage,22,BATCH7007
TX00008200,2025-03-24,INV0001,18,Snack,S013,Morning,Sample,41,BATCH5592
TX00008300,2025-03-25,INV0001,10,Snack,S017,Morning,Routine,25,BATCH4191
TX00008400,2025-03-26,INV0001,18,Dairy,S008,Morning,Sample,14,BATCH1775
TX00008401,2025-03-26,INV0001,8,Bakery,S015,Morning,Sample,6,BATCH8340
TX00008500,2025-03-27,INV0001,11,Bakery,S013,Night,Sample,1,BATCH3711
TX00008501,2025-03-27,INV0001,1,Snack,S020,Morning,Spoilage,0,BATCH1365
TX00008502,2025-03-27,INV0001,0,Produce,S020,Night,Sample,0,BATCH6510
TX00008600,2025-03-28,INV0001,1,Bakery,S018,Evening,Routine,0,BATCH4747
TX00008601,2025-03-28,INV0001,0,Produce,S008,Evening,Spoilage,0,BATCH1780
TX00008700,2025-03-29,INV0001,1,Produce,S014,Morning,Routine,0,BATCH6341
TX00008800,2025-03-30,INV0001,8,Frozen,S008,Evening,Sample,18,BATCH9789
TX00008801,2025-03-30,INV0001,11,Bakery,S013,Evening,Spoilage,7,BATCH5558
TX00008900,2025-03-31,INV0001,7,Beverage,S015,Morning,Routine,18,BATCH7279
TX00008901,2025-03-31,INV0001,10,Dairy,S016,Morning,Routine,8,BATCH1514
TX00008902,2025-03-31,INV0001,1,Beverage,S008,Night,Spoilage,7,BATCH9033
TX00009000,2025-04-01,INV0001,4,Frozen,S010,Evening,Spoilage,35,BATCH4083
TX00009100,2025-04-02,INV0001,4,Snack,S004,Evening,Spoilage,22,BATCH1226
TX00009200,2025-04-03,INV0001,6,Frozen,S004,Morning,Routine,35,BATCH3563
TX00009201,2025-04-03,INV0001,14,Produce,S005,Evening,Sample,21,BATCH7643
TX00009300,2025-04-04,INV0001,4,Produce,S016,Morning,Spoilage,6,BATCH7256
TX00009301,2025-04-04,INV0001,1,Dairy,S020,Morning,Sample,5,BATCH9667
TX00009400,2025-04-05,INV0001,10,Dairy,S003,Morning,Sample,10,BATCH7397
TX00009500,2025-04-06,INV0001,10,Snack,S004,Evening,Spoilage,33,BATCH4331
TX00009600,2025-04-07,INV0001,7,Produce,S014,Evening,Spoilage,47,BATCH3014
TX00009601,2025-04-07,INV0001,10,Bakery,S013,Evening,Routine,37,BATCH6347
TX00009700,2025-04-08,INV0001,16,Snack,S010,Evening,Spoilage,42,BATCH6432
TX00009701,2025-04-08,INV0001,5,Dairy,S018,Morning,Sample,37,BATCH4670
TX00009702,2025-04-08,INV0001,5,Bakery,S019,Night,Routine,32,BATCH7588
TX00009800,2025-04-09,INV0001,1,Bakery,S002,Evening,Sample,69,BATCH7566
TX00009801,2025-04-09,INV0001,17,Bakery,S002,Evening,Spoilage,52,BATCH4648
TX00009802,2025-04-09,INV0001,10,Snack,S005,Evening,Spoilage,42,BATCH4137
TX00009900,2025-04-10,INV0001,4,Frozen,S020,Evening,Sample,33,BATCH7519
TX00009901,2025-04-10,INV0001,8,Snack,S015,Evening,Spoilage,25,BATCH8548
TX00009902,2025-04-10,INV0001,9,Dairy,S017,Night,Spoilage,16,BATCH6879
TX00010000,2025-04-11,INV0001,8,Produce,S005,Night,Sample,0,BATCH3551
TX00010001,2025-04-11,INV0001,0,Dairy,S008,Morning,Routine,0,BATCH8239
TX00010100,2025-04-12,INV0001,0,Snack,S016,Night,Routine,0,BATCH3307
TX00010200,2025-04-13,INV0001,2,Beverage,S006,Evening,Sample,0,BATCH9438
TX00010201,2025-04-13,INV0001,0,Bakery,S003,Morning,Routine,0,BATCH8833
TX00010300,2025-04-14,INV0001,0,Snack,S001,Morning,Sample,0,BATCH2715
TX00010301,2025-04-14,INV0001,0,Bakery,S019,Night,Spoilage,0,BATCH6433
TX00010400,2025-04-15,INV0001,3,Produce,S003,Morning,Routine,0,BATCH7049
TX00010401,2025-04-15,INV0001,0,Produce,S008,Night,Sample,0,BATCH7344
TX00010402,2025-04-15,INV0001,0,Produce,S004,Evening,Routine,0,BATCH6925
TX00010500,2025-04-16,INV0001,0,Frozen,S006,Evening,Routine,0,BATCH6661
TX00010501,2025-04-16,INV0001,0,Produce,S020,Morning,Routine,0,BATCH1423
TX00010600,2025-04-17,INV0001,7,Frozen,S009,Night,Sample,3,BATCH2531
TX00010700,2025-04-18,INV0001,5,Frozen,S009,Night,Spoilage,0,BATCH8804
TX00010701,2025-04-18,INV0001,0,Frozen,S009,Night,Sample,0,BATCH5790
TX00010702,2025-04-18,INV0001,0,Snack,S017,Evening,Sample,0,BATCH1778
TX00010800,2025-04-19,INV0001,15,Beverage,S012,Evening,Sample,20,BATCH1526
TX00010900,2025-04-20,INV0001,2,Produce,S009,Morning,Sample,27,BATCH5005
TX00010901,2025-04-20,INV0001,6,Frozen,S018,Morning,Routine,21,BATCH5875
TX00011000,2025-04-21,INV0001,2,Snack,S006,Morning,Spoilage,0,BATCH5976
TX00011100,2025-04-22,INV0001,0,Produce,S007,Night,Routine,0,BATCH6670
TX00011200,2025-04-23,INV0001,0,Bakery,S014,Night,Spoilage,0,BATCH4052
TX00011201,2025-04-23,INV0001,0,Bakery,S015,Evening,Spoilage,0,BATCH5033
TX00011300,2025-04-24,INV0001,0,Bakery,S007,Evening,Sample,0,BATCH4868
TX00011301,2025-04-24,INV0001,0,Dairy,S002,Night,Sample,0,BATCH5658
TX00011302,2025-04-24,INV0001,0,Bakery,S007,Night,Spoilage,0,BATCH2628
TX00011400,2025-04-25,INV0001,6,Beverage,S011,Evening,Sample,9,BATCH4500
TX00011401,2025-04-25,INV0001,9,Snack,S006,Evening,Spoilage,0,BATCH4259
TX00011402,2025-04-25,INV0001,0,Dairy,S003,Night,Sample,0,BATCH6160
TX00011500,2025-04-26,INV0001,6,Snack,S010,Evening,Sample,0,BATCH6546
TX00011501,2025-04-26,INV0001,0,Produce,S011,Morning,Routine,0,BATCH2829
TX00011502,2025-04-26,INV0001,0,Dairy,S016,Evening,Routine,0,BATCH2054
TX00011600,2025-04-27,INV0001,0,Snack,S004,Evening,Sample,0,BATCH8597
TX00011601,2025-04-27,INV0001,0,Produce,S010,Night,Spoilage,0,BATCH3309
TX00011602,2025-04-27,INV0001,0,Snack,S010,Morning,Spoilage,0,BATCH3172
TX00011700,2025-04-28,INV0001,15,Frozen,S020,Morning,Routine,7,BATCH4807
TX00011701,2025-04-28,INV0001,7,Frozen,S004,Morning,Routine,0,BATCH3352
TX00011702,2025-04-28,INV0001,0,Dairy,S013,Evening,Routine,0,BATCH6498
TX00011800,2025-04-29,INV0001,11,Dairy,S011,Night,Routine,0,BATCH7416
TX00011801,2025-04-29,INV0001,0,Beverage,S018,Evening,Routine,0,BATCH7905
TX00011802,2025-04-29,INV0001,0,Snack,S007,Morning,Routine,0,BATCH9848
TX00011900,2025-04-30,INV0001,11,Beverage,S005,Morning,Routine,11,BATCH1557
TX00011901,2025-04-30,INV0001,11,Frozen,S017,Night,Sample,0,BATCH5761
TX00012000,2025-05-01,INV0001,14,Produce,S018,Night,Sample,15,BATCH7142
TX00012001,2025-05-01,INV0001,15,Beverage,S007,Morning,Sample,0,BATCH4119
TX00012002,2025-05-01,INV0001,0,Beverage,S013,Morning,Routine,0,BATCH4935
TX00012100,2025-05-02,INV0001,0,Beverage,S002,Morning,Sample,0,BATCH1695
TX00012101,2025-05-02,INV0001,0,Produce,S019,Evening,Spoilage,0,BATCH5208
TX00012200,2025-05-03,INV0001,2,Bakery,S002,Evening,Spoilage,6,BATCH8427
TX00012201,2025-05-03,INV0001,6,Produce,S003,Night,Spoilage,0,BATCH1187
TX00012202,2025-05-03,INV0001,0,Snack,S002,Morning,Routine,0,BATCH3130
TX00012300,2025-05-04,INV0001,2,Produce,S008,Night,Spoilage,21,BATCH5727
TX00012301,2025-05-04,INV0001,7,Snack,S007,Morning,Routine,14,BATCH6789
TX00012302,2025-05-04,INV0001,13,Snack,S019,Morning,Sample,1,BATCH8480
TX00012400,2025-05-05,INV0001,14,Beverage,S014,Morning,Sample,0,BATCH7846
TX00012401,2025-05-05,INV0001,0,Snack,S008,Evening,Sample,0,BATCH7046
TX00012500,2025-05-06,INV0001,10,Frozen,S006,Morning,Sample,0,BATCH7056
TX00012501,2025-05-06,INV0001,0,Snack,S012,Morning,Routine,0,BATCH9859
TX00012600,2025-05-07,INV0001,9,Produce,S013,Night,Routine,0,BATCH9389
TX00012601,2025-05-07,INV0001,0,Beverage,S019,Morning,Routine,0,BATCH9662
TX00012700,2025-05-08,INV0001,11,Snack,S005,Morning,Sample,13,BATCH6904
TX00012701,2025-05-08,INV0001,4,Bakery,S009,Morning,Sample,9,BATCH6842
TX00012702,2025-05-08,INV0001,9,Snack,S010,Morning,Routine,0,BATCH6621
TX00012800,2025-05-09,INV0001,1,Beverage,S013,Night,Routine,7,BATCH2772
TX00012801,2025-05-09,INV0001,2,Bakery,S008,Night,Spoilage,5,BATCH8170
TX00012900,2025-05-10,INV0001,10,Snack,S012,Night,Routine,6,BATCH4748
TX00013000,2025-05-11,INV0001,11,Bakery,S004,Evening,Spoilage,23,BATCH4923
TX00013100,2025-05-12,INV0001,1,Dairy,S007,Morning,Spoilage,40,BATCH7155
TX00013200,2025-05-13,INV0001,15,Beverage,S012,Evening,Spoilage,13,BATCH6223
TX00013300,2025-05-14,INV0001,5,Beverage,S015,Night,Sample,0,BATCH9682
TX00013400,2025-05-15,INV0001,0,Dairy,S017,Evening,Routine,0,BATCH8763
TX00013401,2025-05-15,INV0001,0,Produce,S001,Evening,Spoilage,0,BATCH2946
TX00013500,2025-05-16,INV0001,0,Produce,S013,Evening,Sample,0,BATCH5958
TX00013600,2025-05-17,INV0001,8,Produce,S006,Evening,Spoilage,0,BATCH1619
TX00013700,2025-05-18,INV0001,0,Bakery,S005,Evening,Routine,0,BATCH9155
TX00013701,2025-05-18,INV0001,0,Produce,S010,Evening,Sample,0,BATCH6722
TX00013800,2025-05-19,INV0001,10,Beverage,S009,Evening,Sample,0,BATCH9858
TX00013900,2025-05-20,INV0001,18,Beverage,S001,Evening,Routine,4,BATCH9345
TX00014000,2025-05-21,INV0001,3,Beverage,S019,Night,Routine,12,BATCH1699
TX00014100,2025-05-22,INV0001,0,Beverage,S014,Morning,Sample,0,BATCH1270
TX00014101,2025-05-22,INV0001,0,Snack,S001,Night,Sample,0,BATCH4607
TX00014102,2025-05-22,INV0001,0,Beverage,S003,Evening,Routine,0,BATCH7614
TX00014200,2025-05-23,INV0001,6,Snack,S010,Night,Sample,11,BATCH4156
TX00014300,2025-05-24,INV0001,14,Bakery,S016,Night,Sample,7,BATCH4811
TX00014301,2025-05-24,INV0001,7,Frozen,S008,Morning,Sample,0,BATCH4273
TX00014302,2025-05-24,INV0001,0,Frozen,S009,Morning,Sample,0,BATCH4551
TX00014400,2025-05-25,INV0001,0,Beverage,S017,Morning,Sample,0,BATCH8361
TX00014401,2025-05-25,INV0001,0,Produce,S006,Morning,Sample,0,BATCH1406
TX00014402,2025-05-25,INV0001,0,Snack,S017,Evening,Sample,0,BATCH1680
TX00014500,2025-05-26,INV0001,15,Beverage,S016,Night,Routine,0,BATCH3230
TX00014600,2025-05-27,INV0001,0,Produce,S011,Night,Spoilage,0,BATCH2293
TX00014601,2025-05-27,INV0001,0,Snack,S004,Night,Routine,0,BATCH4922
TX00014700,2025-05-28,INV0001,4,Frozen,S008,Morning,Spoilage,0,BATCH9850
TX00014701,2025-05-28,INV0001,0,Produce,S011,Evening,Routine,0,BATCH4731
TX00014702,2025-05-28,INV0001,0,Beverage,S002,Evening,Sample,0,BATCH5408
TX00014800,2025-05-29,INV0001,1,Snack,S014,Morning,Spoilage,17,BATCH1887
TX00014801,2025-05-29,INV0001,1,Frozen,S018,Morning,Sample,16,BATCH5821
TX00014900,2025-05-30,INV0001,0,Bakery,S008,Evening,Spoilage,0,BATCH6788
TX00014901,2025-05-30,INV0001,0,Bakery,S002,Evening,Spoilage,0,BATCH2988
TX00014902,2025-05-30,INV0001,0,Dairy,S020,Morning,Routine,0,BATCH4802
TX00015000,2025-05-31,INV0001,9,Frozen,S020,Night,Sample,5,BATCH3849
TX00015001,2025-05-31,INV0001,3,Frozen,S015,Night,Spoilage,2,BATCH8519
TX00015002,2025-05-31,INV0001,2,Frozen,S009,Night,Sample,0,BATCH3555
TX00015100,2025-06-01,INV0001,0,Snack,S004,Evening,Spoilage,0,BATCH5120
TX00015101,2025-06-01,INV0001,0,Beverage,S001,Morning,Routine,0,BATCH1816
TX00015102,2025-06-01,INV0001,0,Beverage,S019,Morning,Spoilage,0,BATCH3093
TX00015200,2025-06-02,INV0001,15,Beverage,S009,Night,Spoilage,17,BATCH3962
