Transaction_ID,Date,Product_ID,Store_ID,Quantity,Price,Discount,Total_Sales_Amount
T100128,2023-06-13,P0002,S004,314,19.19,0,6025.660000000001
T100129,2023-11-01,P0006,S003,267,49.22,20,13141.74
T100130,2023-06-26,P0011,S003,61,98.25,20,5993.25
T100131,2022-02-20,P0009,S003,120,56.33,20,6759.599999999999
T100132,2022-03-10,P0018,S002,68,66.42,15,4516.56
T100133,2023-08-05,P0007,S003,222,99.53,0,22095.66
T100134,2022-12-26,P0003,S002,263,58.71,10,15440.73
T100135,2023-06-16,P0011,S003,382,96.71,15,36943.22
T100136,2023-12-14,P0015,S002,67,20.69,20,1386.23
T100137,2022-04-28,P0012,S003,98,65.46,20,6415.079999999999
T100138,2023-09-08,P0001,S001,25,70.26,0,1756.5000000000002
T100139,2023-09-07,P0007,S004,12,44.06,0,528.72
T100140,2022-08-28,P0007,S005,101,13.95,20,1408.9499999999998
T100141,2023-03-26,P0002,S005,220,99.99,20,21997.8
T100142,2022-12-30,P0014,S001,456,95.5,0,43548.0
T100143,2023-08-17,P0009,S005,64,97.62,0,6247.68
T100144,2022-06-03,P0020,S005,243,55.82,5,13564.26
T100145,2023-10-23,P0008,S003,77,29.47,0,2269.19
T100146,2023-10-13,P0020,S001,38,32.44,5,1232.7199999999998
T100147,2022-09-13,P0007,S001,120,11.2,20,1344.0
T100148,2022-10-26,P0020,S001,48,34.39,15,1650.72
T100149,2023-03-14,P0004,S001,88,95.1,5,8368.8
T100150,2023-02-13,P0011,S002,420,32.88,10,13809.6
T100151,2023-04-12,P0018,S003,134,66.44,5,8902.96
T100152,2023-09-08,P0020,S002,34,90.72,10,3084.48
T100153,2023-05-06,P0005,S004,333,84.38,20,28098.539999999997
T100154,2023-02-21,P0017,S005,86,50.34,20,4329.240000000001
T100155,2022-08-12,P0013,S004,127,11.67,0,1482.09
T100156,2023-05-01,P0018,S004,184,71.1,0,13082.4
T100157,2023-05-07,P0013,S002,108,71.32,10,7702.5599999999995
T100158,2022-09-06,P0017,S004,144,17.37,20,2501.28
T100159,2023-09-28,P0019,S003,217,15.55,20,3374.3500000000004
T100160,2022-03-13,P0008,S004,235,32.65,10,7672.75
T100161,2023-11-10,P0009,S003,61,16.59,15,1011.99
T100162,2023-01-01,P0006,S005,63,33.61,15,2117.43
T100163,2023-08-14,P0012,S003,76,30.71,10,2333.96
T100164,2023-05-23,P0001,S003,69,19.42,0,1339.98
T100165,2022-11-08,P0007,S004,83,59.09,10,4904.47
T100166,2022-03-01,P0005,S001,97,42.75,15,4146.75
T100167,2022-12-29,P0006,S004,11,58.48,5,643.28
T100168,2022-07-19,P0008,S002,12,38.46,10,461.52
T100169,2022-05-12,P0007,S002,394,31.66,0,12474.04
T100170,2023-05-03,P0018,S003,48,15.08,5,723.84
T100171,2022-10-19,P0003,S001,58,66.46,15,3854.68
T100172,2023-08-28,P0008,S002,358,46.39,20,16607.62
T100173,2022-01-02,P0015,S001,198,28.06,20,5555.88
T100174,2023-11-29,P0015,S001,107,90.72,20,9707.039999999999
T100175,2022-04-18,P0014,S001,52,51.96,0,2701.92
T100176,2023-02-15,P0005,S003,16,63.01,5,1008.16
T100177,2023-09-06,P0012,S003,254,42.09,5,10690.86
T100178,2023-06-06,P0017,S004,473,49.54,5,23432.42
T100179,2022-04-20,P0019,S003,233,65.44,15,15247.519999999999
T100180,2023-05-02,P0001,S005,200,84.89,20,16978.0
T100181,2023-02-04,P0009,S005,52,94.06,5,4891.12
T100182,2023-12-08,P0014,S004,23,30.28,20,696.44
T100183,2023-06-21,P0008,S002,0,10.24,0,0.0
T100184,2022-06-21,P0009,S004,50,56.86,10,2843.0
T100185,2022-02-07,P0020,S005,175,95.38,5,16691.5
T100186,2023-06-19,P0016,S001,157,55.86,20,8770.02
T100187,2023-05-16,P0003,S005,62,36.48,20,2261.7599999999998
T100188,2022-05-05,P0012,S002,241,39.71,5,9570.11
T100189,2023-03-29,P0005,S005,21,23.34,10,490.14
T100190,2022-08-20,P0007,S004,85,67.56,15,5742.6
T100191,2022-10-16,P0017,S003,124,37.97,15,4708.28
T100192,2023-09-13,P0011,S005,59,54.94,15,3241.46
T100193,2023-05-28,P0008,S003,133,78.51,15,10441.83
T100194,2023-01-25,P0017,S005,261,64.43,20,16816.230000000003
T100195,2023-06-03,P0007,S002,7,64.62,20,452.34000000000003
T100196,2022-11-22,P0010,S001,50,12.58,10,629.0
T100197,2022-05-31,P0014,S001,164,32.3,15,5297.2
T100198,2023-02-03,P0003,S002,460,34.51,5,15874.599999999999
T100199,2022-07-27,P0013,S004,243,78.29,10,19024.47
T100200,2022-07-21,P0003,S005,252,31.53,5,7945.56
T100201,2022-12-30,P0017,S004,162,75.72,20,12266.64
T100202,2023-08-01,P0010,S003,29,14.59,10,423.11
T100203,2023-10-22,P0009,S004,74,11.45,0,847.3
T100204,2023-01-12,P0013,S005,68,13.1,5,890.8
T100205,2023-10-13,P0014,S004,35,97.75,10,3421.25
T100206,2022-11-18,P0011,S001,149,48.03,5,7156.47
T100207,2023-07-17,P0012,S002,6,50.01,15,300.06
T100208,2022-12-15,P0011,S002,102,84.04,20,8572.08
T100209,2022-04-22,P0014,S002,59,64.62,0,3812.5800000000004
T100210,2022-08-08,P0016,S002,87,55.94,10,4866.78
T100211,2022-06-15,P0011,S002,155,35.35,15,5479.25
T100212,2022-08-24,P0006,S005,447,86.27,10,38562.689999999995
T100213,2022-03-11,P0015,S005,260,74.77,15,19440.2
T100214,2022-11-16,P0019,S005,289,77.89,0,22510.21
T100215,2022-06-04,P0001,S004,194,64.08,5,12431.52
T100216,2022-07-16,P0019,S001,104,84.54,10,8792.16
T100217,2023-07-16,P0016,S005,310,94.06,15,29158.600000000002
T100218,2023-01-24,P0015,S004,55,11.49,20,631.95
T100219,2022-03-20,P0014,S004,81,61.94,5,5017.139999999999
T100220,2023-06-30,P0008,S003,24,66.98,5,1607.52
T100221,2023-03-11,P0012,S004,7,17.97,20,125.78999999999999
T100222,2023-04-12,P0020,S004,64,81.63,20,5224.32
T100223,2022-07-26,P0011,S001,110,11.92,0,1311.2
T100224,2023-10-04,P0017,S004,16,56.92,0,910.72
T100225,2022-06-28,P0019,S005,104,91.93,5,9560.720000000001
T100226,2023-04-28,P0020,S004,10,43.21,20,432.1
T100227,2022-07-19,P0003,S002,2,17.17,0,34.34
T100228,2023-01-02,P0019,S005,222,67.92,20,15078.24
T100229,2023-08-27,P0006,S005,15,96.24,10,1443.6
T100230,2023-02-12,P0006,S001,47,30.73,20,1444.31
T100231,2022-06-20,P0016,S005,391,62.35,0,24378.850000000002
T100232,2023-07-05,P0016,S001,123,59.63,10,7334.490000000001
T100233,2023-11-20,P0001,S004,128,94.94,10,12152.32
T100234,2023-10-26,P0011,S003,372,53.9,5,20050.8
T100235,2022-08-14,P0002,S004,266,85.51,0,22745.66
T100236,2022-04-12,P0019,S002,25,64.7,5,1617.5
T100237,2022-11-15,P0001,S001,24,62.9,20,1509.6
T100238,2023-07-30,P0004,S004,187,76.53,0,14311.11
T100239,2023-12-06,P0009,S004,441,42.85,5,18896.850000000002
T100240,2023-06-29,P0009,S001,337,11.7,0,3942.8999999999996
T100241,2023-11-01,P0009,S001,132,77.35,15,10210.199999999999
T100242,2022-10-12,P0018,S005,77,30.93,0,2381.61
T100243,2022-01-09,P0012,S002,45,51.28,5,2307.6
T100244,2023-09-05,P0010,S005,98,70.8,0,6938.4
T100245,2022-07-13,P0014,S004,41,71.14,10,2916.7400000000002
T100246,2023-06-23,P0005,S003,88,84.51,15,7436.88
T100247,2023-01-13,P0005,S002,123,17.49,5,2151.27
T100248,2023-11-22,P0004,S003,123,22.4,0,2755.2
T100249,2023-11-05,P0012,S004,66,91.37,5,6030.42
T100250,2022-08-24,P0010,S002,318,17.89,15,5689.02
T100251,2022-09-01,P0008,S004,65,19.47,10,1265.55
T100252,2022-11-21,P0006,S005,219,84.49,10,18503.309999999998
T100253,2023-04-26,P0003,S003,66,74.77,0,4934.82
T100254,2023-11-30,P0002,S002,369,81.77,0,30173.129999999997
T100255,2023-02-25,P0011,S002,14,89.71,10,1255.9399999999998
T100256,2023-07-22,P0019,S004,214,14.55,0,3113.7000000000003
T100257,2022-08-26,P0020,S002,38,13.73,0,521.74
T100258,2022-08-03,P0006,S003,148,29.79,10,4408.92
T100259,2022-11-17,P0007,S004,110,25.81,5,2839.1
T100260,2023-12-08,P0010,S004,182,15.18,20,2762.7599999999998
T100261,2022-06-07,P0002,S004,306,32.28,15,9877.68
T100262,2023-05-01,P0019,S003,85,99.14,10,8426.9
T100263,2022-11-30,P0020,S001,26,36.6,15,951.6
T100264,2022-02-28,P0004,S003,295,64.49,5,19024.55
T100265,2022-04-30,P0019,S004,160,78.54,0,12566.400000000001
T100266,2022-11-04,P0009,S001,75,94.64,0,7098.0
T100267,2023-03-14,P0004,S004,28,89.2,15,2497.6
T100268,2022-05-11,P0019,S002,157,14.1,15,2213.7
T100269,2023-03-01,P0016,S004,32,15.84,0,506.88
T100270,2022-12-29,P0017,S003,50,14.13,15,706.5
T100271,2022-10-05,P0016,S002,69,47.85,20,3301.65
T100272,2023-05-30,P0006,S002,343,12.11,20,4153.73
T100273,2023-03-23,P0012,S002,185,47.32,10,8754.2
T100274,2023-02-27,P0019,S005,77,33.16,15,2553.3199999999997
T100275,2023-09-12,P0010,S004,9,42.53,15,382.77
T100276,2022-10-22,P0012,S003,115,46.96,15,5400.400000000001
T100277,2022-11-03,P0002,S005,72,14.13,20,1017.36
T100278,2022-05-27,P0003,S005,170,71.18,15,12100.6
T100279,2022-06-05,P0011,S003,170,52.54,10,8931.8
T100280,2023-12-26,P0005,S003,257,51.74,20,13297.18
T100281,2023-09-19,P0009,S002,231,39.69,20,9168.39
T100282,2023-05-07,P0002,S001,264,87.5,10,23100.0
T100283,2023-05-13,P0005,S004,66,88.5,0,5841.0
T100284,2023-09-20,P0019,S005,71,85.75,20,6088.25
T100285,2023-08-18,P0020,S004,46,27.29,0,1255.34
T100286,2022-08-15,P0013,S003,154,99.02,20,15249.08
T100287,2023-02-18,P0012,S002,52,45.79,5,2381.08
T100288,2022-06-10,P0010,S001,126,39.5,20,4977.0
T100289,2023-06-16,P0010,S004,34,21.29,15,723.86
T100290,2022-01-16,P0004,S005,29,13.62,10,394.97999999999996
T100291,2023-09-06,P0018,S004,173,48.04,5,8310.92
T100292,2023-10-22,P0020,S003,83,68.6,20,5693.799999999999
T100293,2023-01-15,P0004,S002,101,43.35,5,4378.35
T100294,2023-04-19,P0006,S002,34,90.49,10,3076.66
T100295,2022-08-24,P0017,S001,252,22.83,5,5753.16
T100296,2023-08-30,P0018,S003,159,37.74,10,6000.660000000001
T100297,2023-05-11,P0016,S003,230,60.61,20,13940.3
T100298,2023-10-15,P0006,S001,198,94.54,15,18718.920000000002
T100299,2022-12-10,P0003,S002,136,87.41,5,11887.76
T100300,2022-01-26,P0013,S005,26,33.97,5,883.22
T100301,2023-11-19,P0014,S005,184,75.05,15,13809.199999999999
T100302,2023-05-10,P0011,S002,18,13.85,5,249.29999999999998
T100303,2023-01-30,P0019,S001,322,44.26,15,14251.72
T100304,2022-01-23,P0007,S005,22,53.43,5,1175.46
T100305,2023-03-25,P0002,S003,215,87.18,20,18743.7
T100306,2023-05-13,P0001,S003,102,28.92,0,2949.84
T100307,2023-06-10,P0010,S003,19,29.19,15,554.61
T100308,2022-01-07,P0013,S003,59,18.4,5,1085.6
T100309,2023-05-04,P0019,S003,82,52.49,15,4304.18
T100310,2023-02-01,P0017,S003,154,64.2,10,9886.800000000001
T100311,2022-01-28,P0017,S004,385,84.36,10,32478.6
T100312,2023-10-05,P0018,S001,89,42.26,10,3761.14
T100313,2023-09-04,P0001,S005,44,13.36,5,587.8399999999999
T100314,2022-09-28,P0002,S001,260,55.57,10,14448.2
T100315,2023-08-16,P0020,S002,55,11.67,0,641.85
T100316,2022-02-18,P0020,S003,110,94.48,20,10392.800000000001
T100317,2022-04-26,P0011,S003,82,68.37,20,5606.34
T100318,2023-05-09,P0003,S001,284,43.27,20,12288.68
T100319,2022-07-27,P0018,S004,96,18.24,20,1751.04
T100320,2023-04-21,P0006,S003,414,99.32,5,41118.479999999996
T100321,2023-01-03,P0004,S001,168,72.77,0,12225.359999999999
T100322,2022-10-29,P0014,S003,227,25.5,20,5788.5
T100323,2023-08-23,P0015,S002,171,39.3,10,6720.299999999999
T100324,2022-08-08,P0016,S005,13,64.21,20,834.7299999999999
T100325,2022-07-13,P0014,S005,335,78.14,5,26176.9
T100326,2022-09-20,P0017,S002,41,14.67,5,601.47
T100327,2022-05-16,P0001,S003,244,14.61,5,3564.8399999999997
T100328,2022-05-27,P0018,S005,275,16.24,5,4466.0
T100329,2023-01-19,P0013,S002,134,19.8,5,2653.2000000000003
T100330,2022-05-29,P0009,S003,75,16.83,5,1262.2499999999998
T100331,2023-12-05,P0007,S005,196,66.3,20,12994.8
T100332,2023-02-09,P0008,S004,25,22.0,20,550.0
T100333,2022-08-12,P0017,S005,134,82.06,20,10996.04
T100334,2023-03-25,P0006,S001,282,75.04,10,21161.280000000002
T100335,2022-11-10,P0003,S001,32,28.68,20,917.76
T100336,2023-06-28,P0005,S004,221,22.39,0,4948.1900000000005
T100337,2022-04-01,P0011,S002,45,90.26,10,4061.7000000000003
T100338,2023-03-26,P0005,S005,149,10.05,20,1497.45
T100339,2022-09-27,P0006,S003,147,82.23,10,12087.810000000001
T100340,2023-06-23,P0014,S005,154,60.6,15,9332.4
T100341,2022-06-04,P0016,S002,21,69.87,5,1467.27
T100342,2022-01-16,P0019,S001,249,83.62,15,20821.38
T100343,2022-07-05,P0004,S004,54,34.72,0,1874.8799999999999
T100344,2022-06-19,P0014,S005,156,30.7,15,4789.2
T100345,2023-01-20,P0017,S005,251,64.53,15,16197.03
T100346,2022-11-28,P0017,S005,84,83.19,5,6987.96
T100347,2023-07-25,P0012,S001,90,43.98,15,3958.2
T100348,2022-09-28,P0008,S003,347,61.69,5,21406.43
T100349,2023-05-26,P0020,S003,130,29.27,15,3805.1
T100350,2023-12-16,P0007,S004,353,73.6,10,25980.8
T100351,2022-05-03,P0013,S003,150,76.65,0,11497.5
T100352,2022-09-10,P0012,S001,248,43.2,5,10713.6
T100353,2022-07-13,P0015,S002,27,16.93,0,457.11
T100354,2022-03-11,P0007,S003,121,50.08,5,6059.679999999999
T100355,2022-04-02,P0001,S002,129,21.56,15,2781.24
T100356,2023-02-06,P0006,S004,118,60.03,0,7083.54
T100357,2022-08-03,P0020,S005,4,72.81,10,291.24
T100358,2023-08-11,P0008,S005,31,50.25,15,1557.75
T100359,2022-10-02,P0005,S001,12,54.87,10,658.4399999999999
T100360,2022-04-29,P0016,S002,2,41.67,0,83.34
T100361,2023-10-22,P0006,S002,102,34.12,10,3480.24
T100362,2023-05-27,P0016,S003,369,66.62,10,24582.780000000002
T100363,2023-11-07,P0005,S001,63,58.56,5,3689.28
T100364,2023-10-28,P0015,S002,199,91.96,5,18300.039999999997
T100365,2023-04-04,P0012,S001,72,98.4,0,7084.8
T100366,2023-10-19,P0011,S004,3,84.7,10,254.10000000000002
T100367,2022-02-01,P0014,S004,280,67.82,20,18989.6
T100368,2023-06-25,P0020,S001,1,20.04,20,20.04
T100369,2023-07-07,P0008,S005,20,56.28,0,1125.6
T100370,2022-11-14,P0014,S005,22,35.09,5,771.98
T100371,2022-10-09,P0001,S001,52,80.46,20,4183.92
T100372,2023-03-30,P0005,S002,83,92.13,15,7646.79
T100373,2023-06-14,P0007,S005,82,83.98,15,6886.360000000001
T100374,2023-04-30,P0011,S001,2,98.86,5,197.72
T100375,2023-10-09,P0008,S003,12,68.52,10,822.24
T100376,2022-06-07,P0004,S001,188,95.5,10,17954.0
T100377,2022-11-05,P0014,S003,110,35.0,5,3850.0
T100378,2022-11-15,P0003,S005,78,88.16,0,6876.48
T100379,2023-06-17,P0020,S005,156,33.93,10,5293.08
T100380,2023-07-28,P0012,S004,404,74.29,0,30013.160000000003
T100381,2023-08-03,P0018,S001,243,53.98,10,13117.14
T100382,2023-07-14,P0003,S003,173,89.53,15,15488.69
T100383,2022-11-26,P0003,S001,132,64.56,20,8521.92
T100384,2023-04-20,P0003,S003,247,94.31,20,23294.57
T100385,2023-08-08,P0004,S001,27,10.8,5,291.6
T100386,2022-11-24,P0008,S001,16,25.63,5,410.08
T100387,2023-03-29,P0014,S005,37,98.72,15,3652.64
T100388,2023-11-06,P0009,S001,93,59.53,5,5536.29
T100389,2023-12-12,P0005,S004,51,71.5,5,3646.5
T100390,2023-12-30,P0018,S004,171,48.96,0,8372.16
T100391,2023-09-14,P0014,S005,446,92.55,10,41277.299999999996
T100392,2022-09-07,P0005,S002,14,99.19,20,1388.6599999999999
T100393,2023-09-02,P0016,S001,38,64.2,0,2439.6
T100394,2022-04-27,P0003,S002,138,68.66,15,9475.08
T100395,2022-04-07,P0020,S005,412,51.0,15,21012.0
T100396,2023-02-20,P0010,S002,157,58.68,5,9212.76
T100397,2023-08-24,P0014,S002,332,23.7,0,7868.4
T100398,2022-06-20,P0007,S002,14,57.78,20,808.9200000000001
T100399,2022-03-06,P0012,S003,416,34.13,10,14198.080000000002
T100400,2023-01-13,P0011,S003,415,79.02,5,32793.299999999996
T100401,2022-04-03,P0007,S004,242,10.79,15,2611.18
T100402,2023-11-21,P0020,S004,31,12.07,15,374.17
T100403,2023-11-09,P0017,S002,245,25.44,5,6232.8
T100404,2022-11-05,P0003,S002,150,12.17,15,1825.5
T100405,2023-08-23,P0005,S001,179,70.82,5,12676.779999999999
T100406,2023-08-26,P0020,S005,60,62.15,15,3729.0
T100407,2022-04-20,P0011,S003,65,54.04,0,3512.6
T100408,2022-06-05,P0002,S003,197,54.5,10,10736.5
T100409,2023-11-09,P0001,S002,180,48.58,10,8744.4
T100410,2022-06-18,P0003,S002,64,37.7,5,2412.8
T100411,2023-01-01,P0016,S001,262,14.73,10,3859.26
T100412,2022-04-24,P0013,S004,197,63.0,10,12411.0
T100413,2023-07-30,P0008,S005,52,29.92,5,1555.8400000000001
T100414,2022-06-14,P0009,S001,1,21.99,15,21.99
T100415,2022-04-08,P0004,S005,293,27.49,5,8054.57
T100416,2022-12-12,P0011,S005,246,85.95,0,21143.7
T100417,2023-11-07,P0013,S004,104,22.92,10,2383.6800000000003
T100418,2023-11-30,P0009,S005,126,13.53,5,1704.78
T100419,2023-02-01,P0015,S001,31,85.12,5,2638.7200000000003
T100420,2022-05-22,P0005,S004,89,15.48,20,1377.72
T100421,2023-03-17,P0007,S002,203,61.0,20,12383.0
T100422,2022-09-11,P0018,S002,43,37.02,0,1591.8600000000001
T100423,2022-02-23,P0017,S005,272,37.94,20,10319.68
T100424,2023-11-08,P0017,S003,376,61.77,0,23225.52
T100425,2023-03-21,P0007,S003,232,85.38,15,19808.16
T100426,2022-08-18,P0009,S002,204,92.35,0,18839.399999999998
T100427,2023-03-14,P0008,S002,196,82.96,5,16260.159999999998
T100428,2023-05-05,P0017,S003,47,88.95,0,4180.650000000001
T100429,2022-12-26,P0018,S001,241,78.2,20,18846.2
T100430,2023-07-01,P0008,S005,1,72.01,0,72.01
T100431,2023-02-05,P0018,S002,312,45.49,0,14192.880000000001
T100432,2023-11-23,P0015,S005,235,65.24,5,15331.4
T100433,2022-09-19,P0014,S003,104,39.86,5,4145.44
T100434,2022-10-21,P0003,S003,131,74.85,15,9805.349999999999
T100435,2022-05-26,P0017,S002,131,11.45,20,1499.9499999999998
T100436,2023-12-17,P0015,S004,165,20.91,10,3450.15
