Date,Product_ID,Category,Region,Consumption_Units
2022-01-02,P0015,Electronics,East,198
2022-01-02,P0016,Electronics,West,77
2022-01-02,P0017,Furniture,West,165
2022-01-02,P0018,Toys,North,42
2022-01-02,P0019,Furniture,South,8
2022-01-02,P0020,Electronics,North,174
2022-01-02,P0001,Electronics,West,343
2022-01-02,P0002,Furniture,West,71
2022-01-02,P0003,Groceries,West,157
2022-01-02,P0004,Groceries,South,88
2022-01-02,P0005,Groceries,North,64
2022-01-02,P0006,Groceries,East,273
2022-01-02,P0007,Groceries,North,247
2022-01-02,P0008,Electronics,North,42
2022-01-02,P0009,Electronics,North,197
2022-01-02,P0010,Groceries,West,374
2022-01-02,P0011,Furniture,East,154
2022-01-02,P0012,Toys,North,236
2022-01-02,P0013,Toys,North,278
2022-01-02,P0014,Furniture,West,27
2022-01-02,P0015,Toys,North,106
2022-01-02,P0016,Toys,West,154
2022-01-02,P0017,Clothing,West,176
2022-01-02,P0018,Groceries,East,124
2022-01-02,P0019,Toys,East,479
2022-01-02,P0020,Clothing,South,78
2022-01-02,P0001,Toys,West,114
2022-01-02,P0002,Groceries,East,2
2022-01-02,P0003,Toys,East,7
2022-01-02,P0004,Furniture,West,54
2022-01-02,P0005,Furniture,East,282
2022-01-02,P0006,Groceries,East,93
2022-01-02,P0007,Electronics,West,85
2022-01-02,P0008,Clothing,South,136
2022-01-02,P0009,Electronics,West,140
2022-01-02,P0010,Furniture,West,79
2022-01-02,P0011,Furniture,South,106
2022-01-02,P0012,Groceries,West,1
2022-01-02,P0013,Electronics,West,203
2022-01-02,P0014,Toys,North,368
2022-01-02,P0015,Electronics,East,286
2022-01-02,P0016,Clothing,South,69
2022-01-02,P0017,Toys,South,52
2022-01-02,P0018,Toys,East,109
2022-01-02,P0019,Furniture,North,50
2022-01-02,P0020,Electronics,East,0
2022-01-02,P0001,Electronics,North,22
2022-01-02,P0002,Electronics,East,45
2022-01-02,P0003,Clothing,East,89
2022-01-02,P0004,Groceries,East,209
2022-01-02,P0005,Toys,West,4
2022-01-02,P0006,Toys,East,47
2022-01-02,P0007,Furniture,West,115
2022-01-02,P0008,Toys,South,27
2022-01-02,P0009,Furniture,South,90
2022-01-02,P0010,Groceries,South,206
2022-01-02,P0011,Toys,East,328
2022-01-02,P0012,Groceries,South,155
2022-01-02,P0013,Clothing,West,184
2022-01-02,P0014,Electronics,East,16
2022-01-02,P0015,Toys,North,90
2022-01-02,P0016,Clothing,West,178
2022-01-02,P0017,Electronics,South,256
2022-01-02,P0018,Furniture,South,27
2022-01-02,P0019,Groceries,North,67
2022-01-02,P0020,Electronics,North,84
2022-01-02,P0001,Groceries,East,67
2022-01-02,P0002,Furniture,West,15
2022-01-02,P0003,Toys,West,333
2022-01-02,P0004,Groceries,North,56
2022-01-02,P0005,Furniture,West,165
2022-01-02,P0006,Clothing,North,54
2022-01-02,P0007,Clothing,East,93
2022-01-02,P0008,Furniture,East,250
2022-01-02,P0009,Electronics,West,90
2022-01-02,P0010,Furniture,West,83
2022-01-02,P0011,Electronics,East,16
2022-01-02,P0012,Toys,West,87
2022-01-02,P0013,Furniture,East,241
2022-01-02,P0014,Toys,South,286
2022-01-02,P0015,Clothing,West,60
2022-01-02,P0016,Groceries,East,437
2022-01-02,P0017,Toys,North,377
2022-01-02,P0018,Clothing,West,83
2022-01-02,P0019,Clothing,West,203
2022-01-02,P0020,Clothing,South,183
2022-01-03,P0001,Electronics,West,5
2022-01-03,P0002,Clothing,East,199
2022-01-03,P0003,Toys,South,176
2022-01-03,P0004,Electronics,East,214
2022-01-03,P0005,Groceries,West,165
2022-01-03,P0006,Furniture,South,9
2022-01-03,P0007,Clothing,South,140
2022-01-03,P0008,Groceries,West,177
2022-01-03,P0009,Groceries,South,217
2022-01-03,P0010,Electronics,West,47
2022-01-03,P0011,Groceries,East,3
2022-01-03,P0012,Clothing,East,2
2022-01-03,P0013,Clothing,South,18
2022-01-03,P0014,Toys,South,242
2022-01-03,P0015,Toys,North,228
2022-01-03,P0016,Clothing,East,31
2022-01-03,P0017,Clothing,North,16
2022-01-03,P0018,Furniture,East,20
2022-01-03,P0019,Furniture,South,193
2022-01-03,P0020,Toys,North,118
2022-01-03,P0001,Toys,North,96
2022-01-03,P0002,Electronics,North,48
2022-01-03,P0003,Furniture,West,130
2022-01-03,P0004,Groceries,North,11
2022-01-03,P0005,Groceries,West,313
2022-01-03,P0006,Furniture,North,352
2022-01-03,P0007,Toys,South,265
2022-01-03,P0008,Furniture,South,11
2022-01-03,P0009,Groceries,South,191
2022-01-03,P0010,Electronics,West,185
2022-01-03,P0011,Clothing,North,143
2022-01-03,P0012,Electronics,West,85
2022-01-03,P0013,Groceries,West,270
2022-01-03,P0014,Groceries,West,233
2022-01-03,P0015,Furniture,West,187
2022-01-03,P0016,Electronics,South,39
2022-01-03,P0017,Toys,West,234
2022-01-03,P0018,Clothing,South,213
2022-01-03,P0019,Clothing,North,55
2022-01-03,P0020,Groceries,South,22
2022-01-03,P0001,Clothing,North,100
2022-01-03,P0002,Groceries,North,353
2022-01-03,P0003,Electronics,West,255
2022-01-03,P0004,Clothing,South,154
2022-01-03,P0005,Clothing,East,147
2022-01-03,P0006,Electronics,North,342
2022-01-03,P0007,Furniture,West,54
2022-01-03,P0008,Toys,East,289
2022-01-03,P0009,Toys,South,179
2022-01-03,P0010,Furniture,South,175
2022-01-03,P0011,Clothing,West,209
2022-01-03,P0012,Toys,East,109
2022-01-03,P0013,Groceries,South,43
2022-01-03,P0014,Toys,South,58
2022-01-03,P0015,Electronics,South,399
2022-01-03,P0016,Clothing,West,95
2022-01-03,P0017,Clothing,West,296
2022-01-03,P0018,Electronics,East,105
2022-01-03,P0019,Clothing,East,103
2022-01-03,P0020,Toys,South,131
2022-01-03,P0001,Groceries,East,66
2022-01-03,P0002,Groceries,West,163
2022-01-03,P0003,Clothing,South,98
2022-01-03,P0004,Groceries,East,150
2022-01-03,P0005,Furniture,North,15
2022-01-03,P0006,Electronics,North,36
2022-01-03,P0007,Electronics,East,303
2022-01-03,P0008,Electronics,East,209
2022-01-03,P0009,Electronics,West,69
2022-01-03,P0010,Electronics,West,143
2022-01-03,P0011,Clothing,West,239
2022-01-03,P0012,Groceries,North,192
2022-01-03,P0013,Clothing,South,23
2022-01-03,P0014,Groceries,East,165
2022-01-03,P0015,Groceries,South,85
2022-01-03,P0016,Groceries,East,79
2022-01-03,P0017,Toys,North,33
2022-01-03,P0018,Electronics,South,270
2022-01-03,P0019,Toys,North,1
2022-01-03,P0020,Clothing,East,149
2022-01-03,P0001,Groceries,North,3
2022-01-03,P0002,Electronics,North,59
2022-01-03,P0003,Groceries,East,15
2022-01-03,P0004,Groceries,South,351
2022-01-03,P0005,Groceries,North,66
2022-01-03,P0006,Groceries,West,62
2022-01-03,P0007,Clothing,West,77
2022-01-03,P0008,Electronics,South,177
2022-01-03,P0009,Electronics,West,349
2022-01-03,P0010,Groceries,North,74
2022-01-03,P0011,Groceries,North,40
2022-01-03,P0012,Toys,North,72
2022-01-03,P0013,Toys,South,190
2022-01-03,P0014,Toys,North,263
2022-01-03,P0015,Toys,South,126
2022-01-03,P0016,Clothing,North,17
2022-01-03,P0017,Toys,East,19
2022-01-03,P0018,Toys,North,36
2022-01-03,P0019,Toys,North,207
2022-01-03,P0020,Toys,South,91
2022-01-04,P0001,Groceries,South,58
2022-01-04,P0002,Electronics,North,91
2022-01-04,P0003,Toys,South,70
2022-01-04,P0004,Electronics,North,0
2022-01-04,P0005,Electronics,East,32
2022-01-04,P0006,Clothing,South,8
2022-01-04,P0007,Groceries,North,341
2022-01-04,P0008,Electronics,East,347
2022-01-04,P0009,Groceries,North,15
2022-01-04,P0010,Toys,East,85
2022-01-04,P0011,Toys,South,30
2022-01-04,P0012,Electronics,West,136
2022-01-04,P0013,Toys,North,31
2022-01-04,P0014,Clothing,East,7
2022-01-04,P0015,Electronics,West,377
2022-01-04,P0016,Groceries,North,28
2022-01-04,P0017,Toys,West,348
2022-01-04,P0018,Groceries,South,258
2022-01-04,P0019,Toys,West,41
2022-01-04,P0020,Electronics,North,49
2022-01-04,P0001,Clothing,North,83
2022-01-04,P0002,Furniture,West,60
2022-01-04,P0003,Toys,North,448
2022-01-04,P0004,Toys,East,11
2022-01-04,P0005,Groceries,East,390
2022-01-04,P0006,Clothing,West,81
2022-01-04,P0007,Electronics,North,121
2022-01-04,P0008,Groceries,West,44
2022-01-04,P0009,Toys,East,88
2022-01-04,P0010,Groceries,West,142
2022-01-04,P0011,Toys,North,48
2022-01-04,P0012,Electronics,North,61
2022-01-04,P0013,Electronics,East,140
2022-01-04,P0014,Toys,West,390
2022-01-04,P0015,Toys,North,91
2022-01-04,P0016,Groceries,East,32
2022-01-04,P0017,Electronics,East,60
2022-01-04,P0018,Clothing,South,206
2022-01-04,P0019,Groceries,West,108
2022-01-04,P0020,Furniture,East,349
2022-01-04,P0001,Furniture,South,271
2022-01-04,P0002,Electronics,South,202
2022-01-04,P0003,Toys,North,34
2022-01-04,P0004,Clothing,West,165
2022-01-04,P0005,Groceries,North,2
2022-01-04,P0006,Electronics,East,308
2022-01-04,P0007,Toys,North,76
2022-01-04,P0008,Toys,East,91
2022-01-04,P0009,Furniture,West,113
2022-01-04,P0010,Electronics,East,274
2022-01-04,P0011,Toys,East,116
2022-01-04,P0012,Electronics,North,5
2022-01-04,P0013,Furniture,East,115
2022-01-04,P0014,Clothing,East,79
2022-01-04,P0015,Electronics,East,223
2022-01-04,P0016,Furniture,West,258
2022-01-04,P0017,Toys,West,236
2022-01-04,P0018,Toys,North,309
2022-01-04,P0019,Groceries,North,32
2022-01-04,P0020,Clothing,South,44
2022-01-04,P0001,Furniture,South,145
2022-01-04,P0002,Groceries,North,150
2022-01-04,P0003,Toys,West,40
2022-01-04,P0004,Toys,West,245
2022-01-04,P0005,Furniture,North,241
2022-01-04,P0006,Groceries,South,138
2022-01-04,P0007,Clothing,East,152
2022-01-04,P0008,Furniture,West,12
2022-01-04,P0009,Furniture,South,158
2022-01-04,P0010,Clothing,North,265
2022-01-04,P0011,Clothing,East,240
2022-01-04,P0012,Toys,North,153
2022-01-04,P0013,Groceries,West,68
2022-01-04,P0014,Furniture,West,302
2022-01-04,P0015,Clothing,West,70
2022-01-04,P0016,Groceries,West,92
2022-01-04,P0017,Clothing,East,275
2022-01-04,P0018,Groceries,East,3
2022-01-04,P0019,Groceries,West,307
2022-01-04,P0020,Groceries,South,62
2022-01-04,P0001,Furniture,North,195
2022-01-04,P0002,Furniture,West,33
2022-01-04,P0003,Toys,South,263
2022-01-04,P0004,Toys,West,83
2022-01-04,P0005,Toys,South,78
2022-01-04,P0006,Clothing,West,118
2022-01-04,P0007,Clothing,North,147
2022-01-04,P0008,Furniture,South,216
2022-01-04,P0009,Groceries,West,27
2022-01-04,P0010,Electronics,North,172
2022-01-04,P0011,Toys,West,78
2022-01-04,P0012,Clothing,South,196
2022-01-04,P0013,Groceries,North,75
2022-01-04,P0014,Toys,West,11
2022-01-04,P0015,Clothing,West,144
2022-01-04,P0016,Electronics,North,200
2022-01-04,P0017,Toys,North,256
2022-01-04,P0018,Groceries,East,118
2022-01-04,P0019,Toys,North,244
2022-01-04,P0020,Furniture,West,54
2022-01-05,P0001,Groceries,South,147
2022-01-05,P0002,Toys,West,220
2022-01-05,P0003,Toys,South,97
2022-01-05,P0004,Electronics,North,29
2022-01-05,P0005,Furniture,West,192
2022-01-05,P0006,Toys,North,158
2022-01-05,P0007,Groceries,West,8
2022-01-05,P0008,Electronics,West,42
2022-01-05,P0009,Furniture,East,5
2022-01-05,P0010,Furniture,East,93
2022-01-05,P0011,Groceries,North,44
2022-01-05,P0012,Electronics,West,78
2022-01-05,P0013,Toys,East,57
2022-01-05,P0014,Toys,North,161
2022-01-05,P0015,Toys,West,172
2022-01-05,P0016,Groceries,East,132
2022-01-05,P0017,Electronics,East,46
2022-01-05,P0018,Groceries,South,17
2022-01-05,P0019,Electronics,West,38
2022-01-05,P0020,Toys,West,11
2022-01-05,P0001,Furniture,East,161
2022-01-05,P0002,Electronics,North,101
2022-01-05,P0003,Electronics,North,263
2022-01-05,P0004,Furniture,North,32
2022-01-05,P0005,Clothing,West,209
2022-01-05,P0006,Groceries,West,24
2022-01-05,P0007,Groceries,South,20
2022-01-05,P0008,Clothing,East,148
2022-01-05,P0009,Toys,West,100
2022-01-05,P0010,Toys,East,129
2022-01-05,P0011,Furniture,East,257
2022-01-05,P0012,Groceries,West,262
2022-01-05,P0013,Toys,East,200
2022-01-05,P0014,Groceries,West,56
2022-01-05,P0015,Clothing,South,24
2022-01-05,P0016,Furniture,West,105
2022-01-05,P0017,Groceries,East,294
2022-01-05,P0018,Groceries,East,142
2022-01-05,P0019,Electronics,South,55
2022-01-05,P0020,Electronics,South,24
2022-01-05,P0001,Electronics,West,53
2022-01-05,P0002,Groceries,South,189
2022-01-05,P0003,Furniture,East,146
2022-01-05,P0004,Furniture,East,186
2022-01-05,P0005,Toys,West,77
2022-01-05,P0006,Furniture,East,225
2022-01-05,P0007,Clothing,East,66
2022-01-05,P0008,Electronics,South,35
2022-01-05,P0009,Electronics,West,1
2022-01-05,P0010,Clothing,West,95
2022-01-05,P0011,Electronics,East,255
2022-01-05,P0012,Toys,East,132
2022-01-05,P0013,Furniture,East,234
2022-01-05,P0014,Furniture,South,42
2022-01-05,P0015,Furniture,South,25
2022-01-05,P0016,Toys,North,30
2022-01-05,P0017,Toys,East,28
2022-01-05,P0018,Groceries,South,38
2022-01-05,P0019,Toys,West,149
2022-01-05,P0020,Groceries,North,192
2022-01-05,P0001,Toys,North,198
2022-01-05,P0002,Electronics,North,83
2022-01-05,P0003,Furniture,North,97
2022-01-05,P0004,Toys,North,173
2022-01-05,P0005,Electronics,East,69
2022-01-05,P0006,Furniture,East,256
2022-01-05,P0007,Electronics,North,246
2022-01-05,P0008,Clothing,South,332
2022-01-05,P0009,Toys,North,325
2022-01-05,P0010,Groceries,East,53
2022-01-05,P0011,Groceries,West,17
2022-01-05,P0012,Toys,West,223
2022-01-05,P0013,Electronics,West,95
2022-01-05,P0014,Toys,North,225
2022-01-05,P0015,Groceries,East,216
2022-01-05,P0016,Electronics,North,324
2022-01-05,P0017,Toys,South,75
2022-01-05,P0018,Electronics,West,158
2022-01-05,P0019,Electronics,West,55
2022-01-05,P0020,Toys,South,131
2022-01-05,P0001,Toys,South,74
2022-01-05,P0002,Toys,West,59
2022-01-05,P0003,Electronics,South,150
2022-01-05,P0004,Groceries,North,135
2022-01-05,P0005,Toys,West,79
2022-01-05,P0006,Groceries,South,62
2022-01-05,P0007,Clothing,East,130
2022-01-05,P0008,Toys,North,74
2022-01-05,P0009,Clothing,West,16
2022-01-05,P0010,Furniture,North,342
2022-01-05,P0011,Electronics,South,48
2022-01-05,P0012,Clothing,East,224
2022-01-05,P0013,Electronics,South,64
2022-01-05,P0014,Toys,North,322
2022-01-05,P0015,Toys,South,264
2022-01-05,P0016,Electronics,West,343
2022-01-05,P0017,Groceries,East,15
2022-01-05,P0018,Toys,East,90
2022-01-05,P0019,Clothing,South,143
2022-01-05,P0020,Groceries,South,36
2022-01-06,P0001,Electronics,East,37
2022-01-06,P0002,Furniture,East,230
2022-01-06,P0003,Toys,West,58
2022-01-06,P0004,Furniture,West,305
2022-01-06,P0005,Groceries,East,120
2022-01-06,P0006,Toys,West,2
2022-01-06,P0007,Electronics,South,35
2022-01-06,P0008,Clothing,West,171
2022-01-06,P0009,Furniture,East,195
2022-01-06,P0010,Clothing,East,97
2022-01-06,P0011,Toys,East,177
2022-01-06,P0012,Groceries,North,1
2022-01-06,P0013,Furniture,West,181
2022-01-06,P0014,Furniture,South,100
2022-01-06,P0015,Furniture,South,1
2022-01-06,P0016,Clothing,East,429
2022-01-06,P0017,Electronics,West,26
2022-01-06,P0018,Electronics,East,176
2022-01-06,P0019,Furniture,South,15
2022-01-06,P0020,Clothing,North,2
2022-01-06,P0001,Furniture,West,81
2022-01-06,P0002,Toys,North,23
2022-01-06,P0003,Clothing,East,65
2022-01-06,P0004,Groceries,East,62
2022-01-06,P0005,Clothing,South,76
2022-01-06,P0006,Toys,West,136
2022-01-06,P0007,Furniture,North,255
2022-01-06,P0008,Groceries,South,244
2022-01-06,P0009,Toys,East,173
2022-01-06,P0010,Toys,East,330
2022-01-06,P0011,Clothing,South,95
2022-01-06,P0012,Groceries,South,144
2022-01-06,P0013,Groceries,East,350
2022-01-06,P0014,Groceries,North,240
2022-01-06,P0015,Furniture,East,210
2022-01-06,P0016,Furniture,West,59
2022-01-06,P0017,Groceries,South,57
2022-01-06,P0018,Clothing,North,57
2022-01-06,P0019,Electronics,North,283
2022-01-06,P0020,Clothing,West,203
2022-01-06,P0001,Furniture,West,170
2022-01-06,P0002,Electronics,East,30
2022-01-06,P0003,Furniture,South,180
2022-01-06,P0004,Toys,North,211
2022-01-06,P0005,Toys,East,243
2022-01-06,P0006,Clothing,South,7
2022-01-06,P0007,Furniture,South,9
2022-01-06,P0008,Furniture,South,231
2022-01-06,P0009,Electronics,West,11
2022-01-06,P0010,Clothing,North,18
2022-01-06,P0011,Clothing,East,144
2022-01-06,P0012,Furniture,West,26
2022-01-06,P0013,Toys,South,61
2022-01-06,P0014,Furniture,South,80
2022-01-06,P0015,Furniture,North,476
2022-01-06,P0016,Groceries,North,316
2022-01-06,P0017,Toys,South,162
2022-01-06,P0018,Furniture,North,51
2022-01-06,P0019,Furniture,North,37
2022-01-06,P0020,Electronics,West,63
2022-01-06,P0001,Groceries,South,101
2022-01-06,P0002,Toys,East,105
2022-01-06,P0003,Furniture,South,134
2022-01-06,P0004,Electronics,North,50
2022-01-06,P0005,Furniture,East,220
2022-01-06,P0006,Clothing,North,260
2022-01-06,P0007,Groceries,North,80
2022-01-06,P0008,Clothing,South,167
2022-01-06,P0009,Furniture,North,166
2022-01-06,P0010,Clothing,North,49
2022-01-06,P0011,Electronics,West,26
2022-01-06,P0012,Clothing,North,73
2022-01-06,P0013,Toys,West,257
2022-01-06,P0014,Groceries,East,50
2022-01-06,P0015,Furniture,West,49
2022-01-06,P0016,Electronics,West,24
2022-01-06,P0017,Electronics,South,192
2022-01-06,P0018,Electronics,South,47
2022-01-06,P0019,Furniture,South,325
2022-01-06,P0020,Furniture,West,150
2022-01-06,P0001,Clothing,West,195
2022-01-06,P0002,Furniture,South,35
2022-01-06,P0003,Clothing,West,96
2022-01-06,P0004,Electronics,East,219
2022-01-06,P0005,Toys,East,14
2022-01-06,P0006,Toys,South,14
2022-01-06,P0007,Groceries,West,39
2022-01-06,P0008,Toys,West,162
2022-01-06,P0009,Toys,South,70
2022-01-06,P0010,Toys,South,64
2022-01-06,P0011,Clothing,South,83
2022-01-06,P0012,Groceries,South,171
2022-01-06,P0013,Furniture,South,101
2022-01-06,P0014,Furniture,West,128
2022-01-06,P0015,Electronics,East,7
2022-01-06,P0016,Clothing,South,15
2022-01-06,P0017,Furniture,East,250
2022-01-06,P0018,Furniture,East,192
2022-01-06,P0019,Toys,North,149
2022-01-06,P0020,Furniture,West,7
2022-01-07,P0001,Furniture,North,107
2022-01-07,P0002,Clothing,North,115
2022-01-07,P0003,Electronics,North,32
2022-01-07,P0004,Furniture,West,307
2022-01-07,P0005,Clothing,West,92
2022-01-07,P0006,Furniture,South,23
2022-01-07,P0007,Clothing,North,429
2022-01-07,P0008,Clothing,East,64
2022-01-07,P0009,Electronics,West,242
2022-01-07,P0010,Groceries,East,20
2022-01-07,P0011,Clothing,North,102
2022-01-07,P0012,Groceries,South,118
2022-01-07,P0013,Toys,North,71
2022-01-07,P0014,Electronics,East,115
2022-01-07,P0015,Electronics,East,128
2022-01-07,P0016,Clothing,East,161
2022-01-07,P0017,Furniture,South,66
2022-01-07,P0018,Toys,South,87
2022-01-07,P0019,Toys,South,46
2022-01-07,P0020,Electronics,West,124
2022-01-07,P0001,Toys,West,150
2022-01-07,P0002,Furniture,East,67
2022-01-07,P0003,Electronics,West,72
2022-01-07,P0004,Groceries,East,114
2022-01-07,P0005,Furniture,South,119
2022-01-07,P0006,Toys,North,68
2022-01-07,P0007,Electronics,South,211
2022-01-07,P0008,Toys,North,46
2022-01-07,P0009,Groceries,South,117
2022-01-07,P0010,Groceries,South,116
2022-01-07,P0011,Clothing,West,53
2022-01-07,P0012,Toys,West,137
2022-01-07,P0013,Furniture,West,143
2022-01-07,P0014,Electronics,East,152
2022-01-07,P0015,Electronics,South,39
2022-01-07,P0016,Furniture,South,211
2022-01-07,P0017,Electronics,South,100
2022-01-07,P0018,Furniture,East,73
2022-01-07,P0019,Groceries,North,122
2022-01-07,P0020,Groceries,West,86
2022-01-07,P0001,Clothing,North,39
2022-01-07,P0002,Furniture,West,145
2022-01-07,P0003,Clothing,South,4
2022-01-07,P0004,Furniture,North,8
2022-01-07,P0005,Toys,South,298
2022-01-07,P0006,Electronics,East,175
2022-01-07,P0007,Groceries,South,177
2022-01-07,P0008,Electronics,South,154
2022-01-07,P0009,Furniture,East,24
2022-01-07,P0010,Furniture,North,63
2022-01-07,P0011,Electronics,West,29
2022-01-07,P0012,Clothing,South,52
2022-01-07,P0013,Groceries,South,59
2022-01-07,P0014,Groceries,East,48
2022-01-07,P0015,Toys,West,71
2022-01-07,P0016,Electronics,East,86
2022-01-07,P0017,Clothing,North,12
2022-01-07,P0018,Electronics,East,336
2022-01-07,P0019,Furniture,South,35
2022-01-07,P0020,Toys,South,20
2022-01-07,P0001,Toys,West,13
2022-01-07,P0002,Toys,North,46
2022-01-07,P0003,Electronics,North,49
2022-01-07,P0004,Groceries,East,92
2022-01-07,P0005,Clothing,North,108
2022-01-07,P0006,Groceries,East,343
2022-01-07,P0007,Groceries,North,83
2022-01-07,P0008,Toys,East,72
2022-01-07,P0009,Clothing,South,186
2022-01-07,P0010,Groceries,South,50
2022-01-07,P0011,Clothing,North,80
2022-01-07,P0012,Clothing,West,36
2022-01-07,P0013,Groceries,North,188
2022-01-07,P0014,Toys,South,227
2022-01-07,P0015,Groceries,South,174
2022-01-07,P0016,Furniture,North,139
2022-01-07,P0017,Furniture,South,4
2022-01-07,P0018,Furniture,North,70
2022-01-07,P0019,Groceries,North,12
2022-01-07,P0020,Toys,North,162
2022-01-07,P0001,Groceries,East,97
2022-01-07,P0002,Electronics,West,297
2022-01-07,P0003,Furniture,South,197
2022-01-07,P0004,Clothing,West,32
2022-01-07,P0005,Toys,South,131
2022-01-07,P0006,Electronics,East,284
2022-01-07,P0007,Toys,North,246
2022-01-07,P0008,Clothing,North,139
2022-01-07,P0009,Furniture,West,182
2022-01-07,P0010,Furniture,South,164
2022-01-07,P0011,Furniture,South,438
2022-01-07,P0012,Groceries,South,59
2022-01-07,P0013,Toys,North,88
2022-01-07,P0014,Electronics,West,211
2022-01-07,P0015,Electronics,East,161
2022-01-07,P0016,Furniture,North,111
2022-01-07,P0017,Groceries,East,186
2022-01-07,P0018,Clothing,East,30
2022-01-07,P0019,Furniture,East,33
2022-01-07,P0020,Groceries,West,126
2022-01-08,P0001,Furniture,East,2
2022-01-08,P0002,Groceries,South,33
2022-01-08,P0003,Electronics,East,123
2022-01-08,P0004,Toys,North,79
2022-01-08,P0005,Groceries,West,217
